[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:25,122 INFO [Thread-26][PeerAwareInstanceRegistryImpl.java:242] - Renew threshold is: 1
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:25,122 INFO [Thread-26][PeerAwareInstanceRegistryImpl.java:253] - Changing status to UP
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:25,128 INFO [Thread-26][EurekaServerInitializerConfiguration.java:72] - Started Eureka Server
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:25,131 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 53000 (http) with context path ''
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:25,132 INFO [main][EurekaAutoServiceRegistration.java:141] - Updating port to 53000
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:25,134 INFO [main][StartupInfoLogger.java:59] - Started DiscoveryServer in 7.195 seconds (JVM running for 9.207)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:25,473 INFO [RMI TCP Connection(3)-192.168.0.13][DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:25,473 INFO [RMI TCP Connection(3)-192.168.0.13][FrameworkServlet.java:524] - Initializing Servlet 'dispatcherServlet'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:25,479 INFO [RMI TCP Connection(3)-192.168.0.13][FrameworkServlet.java:546] - Completed initialization in 6 ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:35,128 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:39,672 WARN [http-nio-53000-exec-1][AbstractInstanceRegistry.java:353] - DS: Registry: lease doesn't exist, registering resource: CONSUMER-SERVICE - consumer-service:192.168.0.13:53050
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:39,672 WARN [http-nio-53000-exec-1][InstanceResource.java:116] - Not Found (Renew): CONSUMER-SERVICE - consumer-service:192.168.0.13:53050
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:39,728 INFO [http-nio-53000-exec-3][AbstractInstanceRegistry.java:266] - Registered instance CONSUMER-SERVICE/consumer-service:192.168.0.13:53050 with status UP (replication=false)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:40,300 INFO [http-nio-53000-exec-5][AbstractInstanceRegistry.java:266] - Registered instance CONSUMER-SERVICE/consumer-service:192.168.0.13:53050 with status UP (replication=true)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:45,131 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 3ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:48,065 WARN [http-nio-53000-exec-6][AbstractInstanceRegistry.java:353] - DS: Registry: lease doesn't exist, registering resource: ACCOUNT-SERVICE - account-service:192.168.0.13:53030
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:48,065 WARN [http-nio-53000-exec-6][InstanceResource.java:116] - Not Found (Renew): ACCOUNT-SERVICE - account-service:192.168.0.13:53030
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:48,087 INFO [http-nio-53000-exec-8][AbstractInstanceRegistry.java:266] - Registered instance ACCOUNT-SERVICE/account-service:192.168.0.13:53030 with status UP (replication=false)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:48,612 INFO [http-nio-53000-exec-10][AbstractInstanceRegistry.java:266] - Registered instance ACCOUNT-SERVICE/account-service:192.168.0.13:53030 with status UP (replication=true)
